variable,ISO,scenario,year,value
Need of heating only,NZL,STEPS,2040,8
Need of heating only,UGA,STEPS,2040,0
Need of heating only,ECU,STEPS,2040,18
Need of heating only,PCN,STEPS,2040,0
Need of heating only,SUR,STEPS,2040,0
Need of heating only,MHL,STEPS,2040,0
Need of heating only,SYC,STEPS,2040,0
Need of heating only,YEM,STEPS,2040,0
Need of heating only,COL,STEPS,2040,3
Need of heating only,ROU,STEPS,2040,2
Need of heating only,SSD,STEPS,2040,0
Need of heating only,PER,STEPS,2040,22
Need of heating only,MTQ,STEPS,2040,0
Need of heating only,IRL,STEPS,2040,100
Need of heating only,RWA,STEPS,2040,0
Need of heating only,AIA,STEPS,2040,0
Need of heating only,GEO,STEPS,2040,6
Need of heating only,NLD,STEPS,2040,0
Need of heating only,IMN,STEPS,2040,100
Need of heating only,ALB,STEPS,2040,0
Need of heating only,ASM,STEPS,2040,0
Need of heating only,SJM,STEPS,2040,0
Need of heating only,FJI,STEPS,2040,0
Need of heating only,VUT,STEPS,2040,0
Need of heating only,ISL,STEPS,2040,100
Need of heating only,SWZ,STEPS,2040,0
Need of heating only,MLT,STEPS,2040,0
