variable,ISO,region,scenario,year,value
Need of heating only,CUW,Cura̤ao,SDS,2040,0.0
Need of heating only,GLP,Guadeloupe,SDS,2040,0.0
Need of heating only,NOR,Norway,SDS,2040,100.0
Need of heating only,MNE,Montenegro,SDS,2040,37.2
Need of heating only,STP,Sao Tome and Principe,SDS,2040,0.0
Need of heating only,BOL,Bolivia,SDS,2040,37.6
Need of heating only,BRN,Brunei Darussalam,SDS,2040,0.0
Need of heating only,BHR,Bahrain,SDS,2040,0.0
Need of heating only,CXR,Christmas Island,SDS,2040,0.0
Need of heating only,TKM,Turkmenistan,SDS,2040,0.0
Need of heating only,MMR,Myanmar,SDS,2040,0.0
Need of heating only,NZL,New Zealand,SDS,2040,8.6
Need of heating only,UGA,Uganda,SDS,2040,0.0
Need of heating only,ECU,Ecuador,SDS,2040,18.6
Need of heating only,PCN,Pitcairn,SDS,2040,0.0
Need of heating only,SUR,Suriname,SDS,2040,0.0
Need of heating only,MHL,Marshall Islands,SDS,2040,0.0
Need of heating only,SYC,Seychelles,SDS,2040,0.0
Need of heating only,YEM,Yemen,SDS,2040,0.0
Need of heating only,COL,Colombia,SDS,2040,3.4
Need of heating only,ROU,Romania,SDS,2040,4.0
Need of heating only,SSD,South Sudan,SDS,2040,0.0
Need of heating only,PER,Peru,SDS,2040,23.5
Need of heating only,MTQ,Martinique,SDS,2040,0.0
Need of heating only,IRL,Ireland,SDS,2040,100.0
Need of heating only,RWA,Rwanda,SDS,2040,0.0
Need of heating only,AIA,Anguilla,SDS,2040,0.0
Need of heating only,GEO,Georgia,SDS,2040,6.9
Need of heating only,NLD,Netherlands,SDS,2040,0.0
Need of heating only,IMN,Isle of Man,SDS,2040,100.0
Need of heating only,ALB,Albania,SDS,2040,0.0
Need of heating only,ASM,American Samoa,SDS,2040,0.0
Need of heating only,SJM,Svalbard and Jan Mayen,SDS,2040,0.0
Need of heating only,FJI,Fiji,SDS,2040,0.0
Need of heating only,VUT,Vanuatu,SDS,2040,0.0
Need of heating only,ISL,Iceland,SDS,2040,100.0
Need of heating only,SWZ,Eswatini,SDS,2040,0.0
Need of heating only,MLT,Malta,SDS,2040,0.0
Need of heating only,TTO,Trinidad and Tobago,SDS,2040,0.0
Need of heating only,CAF,Central African Republic,SDS,2040,0.0
Need of heating only,SPM,Saint Pierre and  Miquelon,SDS,2040,0.0
Need of heating only,CIV,C̫te d'Ivoire,SDS,2040,0.0
