country,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Estonia,660561.7,653274.44,704079.9,715296.7,714826.7,736769.9,670297.56,392933.34,369491.72,398324.53,420369.34,526172.75,509652.22,608357.94,824486.56,832621.6,850011.5,850136.75,814916.94,789485.2,845930.44,828837.94,890047.4,904103.3,668817.56,786397.94,877256,961272.5,971122.5,873174.4
Eswatini,815721.9,185717.67,298092.84,741368.56,269501.2,367447.3,555866.44,482292.47,714011.9,604219.6,591662.1,415443.4,804214.8,822894.56,791822.25,567828.9,305714.4,580304.94,592085.4,746197.4,246523.19,276397.5,378742.7,537944.9,638260.9,713267.94,569413,527647.8,656159.8,760633.2
Ethiopia,980137.5,1003861.9,1038408.44,986217.94,1024303.7,1003906.3,1061658.6,1060868.6,978701.8,979597.75,939988.25,915398.3,946012.2,986128.75,923846.6,910169.44,916191.06,942749.2,896222.5,923294.56,916828.2,843955.2,851712,825738,898589,925559.9,873510.94,894320.8,963648.56,954357.7
Fiji,823619.5,869370.9,904422.25,895004.8,819049.6,602105.6,557779.5,687217.56,767258.5,837879.4,769582,688667.1,413689.78,410868.1,740291.56,646687.8,669716.8,670543.94,611663.8,562776.06,389139.56,182956.02,303344.06,529870.9,677421.56,643752.2,709453.44,705769.25,733155.44,689886.9
Finland,558223.9,550807.3,590323.8,404892.3,481132.47,631499.25,523437.44,396520.8,380489.62,457006.47,608630.3,535035.7,518763.44,593813.2,732900.1,737340.8,693350.9,794284.3,705805.7,620448.75,665610.06,633405.75,800841.25,811278.44,821696.8,815358.1,807795.3,856917.4,802015.9,764908.8
Former Yugoslav Republic of Macedonia,963502.06,846173.25,691333.8,801922.7,417439,699478.4,567827.9,344199.72,198109.34,677730.9,854080.56,690002.75,734265.56,614843.4,340782.2,860878.2,959434.25,789412.56,803729.94,888984.94,953577.2,958664.2,613678.44,989232.9,913800.9,1033862.56,666873.4,1021702.06,879077.8,948837.8
France,750845.25,647772.8,514831.28,730493.4,681390.94,532002.2,576991,618299.1,672496.25,641877.8,767050.1,872009.56,866613.25,738084.25,812203.06,481340.6,842419.9,889420.5,889404.75,929740.94,826121.94,812950.5,643828.5,625666.25,588047.75,760438.7,665011.25,677413.9,800706.25,862102.94
French Polynesia,932477.8,884237.9,919927,823816.5,865460.44,928213.44,900795.94,882497.56,883351.6,868449.4,891577.56,770653.44,770816.9,823734,855559.7,837440.94,853973.75,861310.94,873387.44,856617.4,781998.25,779556.5,832712.44,716643.8,626327.6,741988.4,806290.75,748870.1,601208.8,691117
French Southern and Antarctic Lands,178825.42,312279.97,197855.92,460030.44,366559.56,290535.53,378502.28,263947.75,300488.78,283672.84,450612.38,191630.8,311623.44,179192.84,67683.71,409319.88,290502.06,315916.2,367725.8,387492.44,63320.504,125809.42,293448.16,171604.53,152980.25,334233.72,122841.99,76666.164,171447.42,339394.7
Gabon,905596.9,703291.3,873782.9,806113.75,400511.56,794785.44,726914.94,899392.9,866386.7,856271.6,447238.16,812128.25,877906.5,643113.75,799800.44,670827.3,831848.4,616223.2,726982.1,638088.44,773525,839318.06,811905.3,674504.2,667835.7,705733.6,778631,789980.44,622327.25,688755.8
Gambia,1064135.8,990853.5,897090.75,998504.56,1018358,1058467.1,1077726.1,886735.56,1098256.8,1099730.6,1101618.2,1094977.6,1140422.1,1129013.6,1121892.6,1123862.6,1120699.9,1066926.8,1054886.8,1115481.5,1110071,1109608.5,1102773.5,1109150.9,1116081.4,1115037.4,1094920.6,1070826.2,1089570.4,1119311.8
Georgia,460694.25,548008.94,704842.7,477982.5,860429.6,462789.9,927216.8,810387.44,794971.75,796912.75,779917.44,798783.3,934054,952282.3,758847.75,512272.34,233816.02,599852.7,474588.03,450050.1,699231.4,667756.75,682271.44,900069.56,966014.9,1071118.1,1089743.2,989347.06,954962.8,1056065
