LATITUDE;LONGITUDE;SECTOR;value
45.43;4.77;Chemicals;0
45.05;4.81;Chemicals;0
51.1791;6.8383;Chemicals;0
47.68;6.49;Chemicals;0
51.3354;6.6784;Chemicals;0
51.3769;6.6558;Chemicals;0
51.7829;6.1531;Chemicals;0
51.0125;6.9875;Chemicals;0
50.8557;6.8444;Chemicals;0
45.7;4.85;Chemicals;0
52.9545;8.2263;Chemicals;0
48.07;-1.72;Chemicals;0
45.12;5.7;Chemicals;0
45.75;4.83;Chemicals;0
49.37;2.51;Chemicals;0
50.0899;8.524;Chemicals;0
53.4777;8.6478;Chemicals;0
49.48;0.57;Chemicals;0
49.29;2.51;Chemicals;0
51.0256;6.9839;Chemicals;0
51.071;6.845;Chemicals;0
51.0194;6.9898;Chemicals;0
50.8335;6.9762;Chemicals;0
45.36;4.78;Chemicals;0
51.8321;6.2572;Chemicals;0
52.4;9.5824;Chemicals;0
45.7;4.85;Chemicals;0
53.6443;9.4979;Chemicals;0
52.9107;9.6455;Chemicals;0
51.9076;10.4954;Chemicals;0
52.5962;9.0397;Chemicals;0
51.833;6.2311;Chemicals;0
51.0749;6.8327;Chemicals;0
45.83;5.1;Chemicals;0
51.9115;10.4668;Chemicals;0
50.9786;7.0118;Chemicals;0
50.9997;6.9442;Chemicals;0
45.39;4.77;Chemicals;0
50.8603;6.847;Chemicals;0
47.03;5.4;Chemicals;0
51.0193;7.0284;Chemicals;0
45.7;4.85;Chemicals;0
51.0218;6.9687;Chemicals;0
50.8268;7.0312;Chemicals;0
47.28;5.05;Chemicals;0
51.5651;6.5838;Chemicals;0
43.3731;0.5865;Chemicals;0
51.0609;6.1395;Chemicals;0
50.8238;7.0198;Chemicals;0
52.6235;8.8887;Chemicals;0
51.0618;6.1345;Chemicals;0
43.93;-0.93;Chemicals;0
49.19;6.89;Chemicals;0
47.58;7.58;Chemicals;0
51.9293;10.3215;Chemicals;0
53.4843;8.6488;Chemicals;0
43.36;-0.58;Chemicals;0
43.37;-0.61;Chemicals;0
49.12;6.71;Chemicals;0
46.7;4.39;Chemicals;0
45.29;5.64;Chemicals;0
43.37;-0.61;Chemicals;0
46.04;4.28;Chemicals;0
44.36;4.68;Chemicals;0
43.87;-1.14;Chemicals;0
45.53;4.27;Chemicals;0
51.5362;7.2132;Chemicals;0
45.01;-0.54;Chemicals;0
44.14;-0.5;Chemicals;0
49.4;1.04;Chemicals;0
44.85;0.48;Chemicals;0
45.11;5.74;Chemicals;0
49.52;5.76;Chemicals;0
49.48;0.22;Chemicals;0
