YEAR;FACILITY_NAME;GHGRP_ID;ADDRESS;LATITUDE;LONGITUDE;CITY;COUNTY;STATE;ZIP_CODE;PARENT_CO;SUBPARTS;NUM_SECTORS;TOTAL_REPORTED_CO2_tCO2;POWER;REFINING;IRON STEEL;CHEMICALS;CEMENT;TOTAL_CO2_tCO2
2017;Hartford Hospital Cogeneration Facility;1010343;19 Jefferson St;41.7554;-72.67721;Hartford;HARTFORD COUNTY;CT;6106;DCO ENERGY (50%);;;;;;;;;
2017;Hartford Steam - Columbus Plant;1010109;60 Columbus Blvd;41.76182;-72.67019;Hartford;HARTFORD COUNTY;CT;6103;DCO ENERGY (50%);;;;;;;;;
2017;Hartwell Energy Facility;1000085;415 SMITH MCGEE HWY;34.3387;-82.8207;HARTWELL;Hart;GA;30643;OGLETHORPE POWER CORP (100%);D;1;61339;61339;0;0;0;0;61339
2017;Havana;1001524;15260 N STATE ROUTE 78;40.2797;-90.0775;HAVANA;Mason;IL;62644;DYNEGY INC (100%);C,D;1;2909866;2909866;0;0;0;0;2909866
2017;Hawk Road Energy Facility;1005921;624 HAWK RD;33.3577;-84.9912;FRANKLIN;Heard;GA;30217;OGLETHORPE POWER CORP (100%);D;1;316648;316648;0;0;0;0;316648
2017;Hawthorn;1000705;8700 E. Front Street;39.1306;-94.4778;KANSAS CITY;Jackson;MO;64120;GREAT PLAINS ENERGY INC (100%);C,D;1;2891853;2891853;0;0;0;0;2891853
2017;Hay Road;1001082;198 HAY ROAD;39.7436;-75.5072;WILMINGTON;New Castle;DE;19809;CALPINE CORP (100%);D;1;1569009;1569009;0;0;0;0;1569009
2017;Hayden;1001466;12795 E YUTE;40.4856;-107.185;HAYDEN;Routt;CO;81639;XCEL ENERGY (52.95%);;;;;;;;;
2017;Haynes Generating Station;1006097;6801 E 2ND ST;33.7639;-118.0942;LONG BEACH;Los Angeles;CA;90803;CITY OF LOS ANGELES DEPARTMENT OF WATER & POWER (100%);C,D;1;1067815;1067815;0;0;0;0;1067815
2017;Hays Energy Facility;1001335;1601 FRANCIS HARRIS LN;29.7806;-97.9894;SAN MARCOS;Hays;TX;78666;GDF SUEZ ENERGY NORTH AMERICA INC (100%);C,D;1;1144933;1144933;0;0;0;0;1144933
2017;Helix Ironwood, LLC;1007058;305 PRESCOTT ROAD;40.3509;-76.3658;LEBANON;Lebanon;PA;17042;LS POWER DEVELOPMENT LLC (100%);C,D;1;1949377;1949377;0;0;0;0;1949377
2017;Hell Gate;1005913;910 E 134TH ST LOCUST AVE;40.7988;-73.9093;BRONX;Bronx;NY;10454;NEW YORK POWER AUTHORITY (100%);C,D;1;16901;16901;0;0;0;0;16901
2017;Hennepin Power Station;1001525;13498 EAST 800TH ST;41.3017;-89.3136;HENNEPIN;Putnam;IL;61327;DYNEGY INC (100%);C,D;1;1780209;1780209;0;0;0;0;1780209
2017;Henrietta Peaker Plant;1000283;16027 25TH AVE;36.2397;-119.9044;LEMOORE;Kings;CA;93245;ALTAGAS LTD (100%);D;1;23070;23070;0;0;0;0;23070
2017;Henry County Generating Station;1001145;6045 WEST SR 38;39.9528;-85.5039;NEW CASTLE;Henry;IN;47362;DUKE ENERGY CORP (100%);D;1;134309;134309;0;0;0;0;134309
2017;Hermiston Power, LLC;1000788;78910 SIMPLOT ROAD;45.7931;-119.3117;HERMISTON;Umatilla;OR;97838;CALPINE CORP (100%);D;1;1174490;1174490;0;0;0;0;1174490
2017;Hersey Power Plant;1012840;1529 South 170th Avenue;43.836848;-85.42409;Hersey;OSCEOLA COUNTY;MI;49639;WOLVERINE POWER SUPPLY COOPERATIVE INC (100%);C;1;18480;18480;0;0;0;0;18480
2017;Hibbard Energy Center;1000688;4913 MAIN ST;46.7356;-92.1531;DULUTH;St. Louis;MN;55807;ALLETE INC (100%);D;1;30147;30147;0;0;0;0;30147
2017;Hibbing Taconite Company;1005116;4950 County Highway 5 North;47.476831;-92.967271;Hibbing;ST. LOUIS COUNTY;MN;55746;CLIFFS NATURAL RESOURCES (100%);C,Q;1;251857;0;0;251857;0;0;251857
2017;High Bridge;1000690;155 Randolph Road;44.9331;-93.1075;SAINT PAUL;Ramsey;MN;55102;XCEL ENERGY (100%);C,D;1;788950;788950;0;0;0;0;788950
2017;High Desert Power Project;1000070;19000 PERIMETER RD/STE 102;34.5953;-117.3647;VICTORVILLE;San Bernardino;CA;92394;MIDDLE RIVER POWER II LLC (100%);C,D;1;891918;891918;0;0;0;0;891918
2017;Hillabee Energy Center;1000813;152 BRICK PLANT ROAD;33;-85.9031;ALEXANDER CITY;Tallapoosa;AL;35010;EXELON CORP (100%);C,D;1;1181617;1181617;0;0;0;0;1181617
2017;Hillburn Gas Turbine;1007157;6 4th street;41.1269;-74.1653;Hillburn;ROCKLAND;NY;10931;ALLIANCE ENERGY GROUP (100%);D;1;407;407;0;0;0;0;407
2017;Hinds Energy Facility;1001367;3889 BEASLEY ROAD;32.3781;-90.2169;JACKSON;Hinds;MS;39213;ENTERGY CORP (100%);C,D;1;1213000;1213000;0;0;0;0;1213000
2017;Hines Energy Complex;1001112;7700 COUNTY ROAD 555;27.7886;-81.8694;BARTOW;Polk;FL;33830;DUKE ENERGY CORP (100%);D;1;4986959;4986959;0;0;0;0;4986959
2017;Hobbs Generating Station;1007328;98 N. TWOMBLY LANE;32.7282;-103.3095;HOBBS;Lea;NM;88240;LEA POWER PARTNERS LLC (100%);C,D;1;1319638;1319638;0;0;0;0;1319638
2017;Hog Bayou Energy Center;1000398;1003 PAPER MILL RD;30.7478;-88.0575;MOBILE;Mobile;AL;36610;LS Power Development, LLC (100%);D;1;211286;211286;0;0;0;0;211286
2017;Holcim (US) INC JOPPA PLANT;1000243;2500 PORTLAND RD;37.216805;-88.879849;GRAND CHAIN;MASSAC COUNTY;IL;62941;HOLCIM (US) INC (100%);C,H;1;369619;0;0;0;0;369619;369619
2017;Holcim (US) Inc;1004810;3051 Hamilton Boulevard;30.5349;-88.1121;Theodore;MOBILE COUNTY;AL;36582;HOLCIM (US) INC (100%);H;1;569886;0;0;0;0;569886;569886
2017;Holcim (US) Inc. - Portland Plant;1003008;3500 Highway 120;38.386936;-105.039244;Florence;FREMONT COUNTY;CO;81226;HOLCIM (US) INC (100%);C,H;1;884359;0;0;0;0;884359;884359
2017;Holcim (US), Inc.;1004078;1260 Security Rd;39.6524;-77.6805;Hagerstown;WASHINGTON COUNTY;MD;21742;HOLCIM (US) INC (100%);H;1;383002;0;0;0;0;383002;383002
2017;Holcomb;1001420;2440 HOLCOMB LANE;37.9306;-100.9725;HOLCOMB;Finney;KS;67851;SUNFLOWER ELECTRIC POWER CORP (100%);C,D;1;1081392;1081392;0;0;0;0;1081392
2017;Holden Power Plant;1007746;100 SW ROUTE 131;38.7538;-93.9983;HOLDEN;Johnson;MO;64040;ASSOCIATED ELECTRIC COOPERATIVE INC (100%);C,D;1;28127;28127;0;0;0;0;28127
2017;Holland Energy Facility;1000792;2061 East 000 North Road;39.2242;-88.7594;BEECHER CITY;Shelby;IL;62414;HOOSIER ENERGY REC INC (50%);;;;;;;;;
2017;Holland Energy Park;1013054;1 Energy Park Way;42.7381514;-86.0733498;Holland;;MI;49423;;C,D;1;136182;136182;0;0;0;0;136182
2017;HollyFrontier Cheyenne Refining LLC;1007922;300 Morrie Ave.;41.128381;-104.787925;Cheyenne;LARAMIE COUNTY;WY;82007;HOLLYFRONTIER CORP (100%);C,MM,P,Y;2;751109;0;648430;0;102679;0;751109
2017;Holtsville Facility;1001183;MORRIS AVE;40.8153;-73.0664;HOLTSVILLE;Suffolk;NY;11742;NATIONAL GRID USA (100%);C,D;1;16844;16844;0;0;0;0;16844
2017;Homer City;1006728;1750 POWER PLANT ROAD;40.511;-79.1968;HOMER CITY;Indiana;PA;15748;EFS-N LLC (100%);C,D;1;5138353;5138353;0;0;0;0;5138353
2017;Hoosier Energy Lawrence Co Station;1000119;1000 S OLD PALESTINE ROAD;38.8003;-86.4511;MITCHELL;Lawrence;IN;47446;HOOSIER ENERGY REC INC (100%);D;1;23474;23474;0;0;0;0;23474
2017;Hoot Lake;1000694;1012 WATER PLANT ROAD;46.29;-96.0428;FERGUS FALLS;Otter Tail;MN;56537;OTTER TAIL CORP (100%);C,D;1;298434;298434;0;0;0;0;298434
2017;Hopewell Cogeneration Facility;1000318;1114 HERCULES ROAD;37.2914;-77.2821;HOPEWELL;Hopewell;VA;23860;DYNEGY INC (100%);C,D;1;582282;582282;0;0;0;0;582282
2017;Horseshoe Lake;1000859;19801 NE 36TH ST;35.5089;-97.1789;HARRAH;Oklahoma;OK;73045;OGE ENERGY CORP (100%);C,D;1;234948;234948;0;0;0;0;234948
2017;Hot Spring Energy Facility;1000815;696 BLACK BRANCH RD;34.2963;-92.8683;MALVERN;Hot Spring;AR;72104;ENTERGY CORP (100%);C,D;1;1215260;1215260;0;0;0;0;1215260
2017;Houma;1000529;1551 BARROW ST;29.5808;-90.7222;HOUMA;Terrebonne;LA;70360;TERREBONNE PARISH CONSOLIDATED GOVERNMENT (100%);C,D;1;24386;24386;0;0;0;0;24386
2017;Howard M Down;1000751;211 N WEST AVE;39.4889;-75.0347;VINELAND;Cumberland;NJ;8360;CITY OF VINELAND (100%);C,D;1;58923;58923;0;0;0;0;58923
2017;Hudson Generating Station;1000746;DUFFIELD AND VAN KEUREN AVE;40.7478;-74.0719;JERSEY CITY;Hudson;NJ;7306;PUBLIC SERVICE ENTERPRISE GROUP INC (100%);C,D;1;14922;14922;0;0;0;0;14922
2017;Hugo;1001064;970 N 4335 Rd.;34.0158;-95.3206;FORT TOWSON;Choctaw;OK;74735;WESTERN FARMERS ELECTRIC COOPERATIVE (100%);D;1;2817990;2817990;0;0;0;0;2817990
2017;Hunlock Creek Energy Center;1000901;390 ROUTE 11;41.2033;-76.0683;HUNLOCK CREEK;Luzerne;PA;18621;UGI ENERGY SERVICES INC (100%);C,D;1;248306;248306;0;0;0;0;248306
2017;Hunter;1001036;UT HWY 10 S OF CASTLE DALE;39.1747;-111.0289;CASTLE DALE;Emery;UT;84513;BERKSHIRE HATHAWAY INC (85.14%);;;;;;;;;
2017;Hunterstown Combined Cycle;1000475;1731 Hunterstown Road;39.8725;-77.1672;GETTYSBURG;Adams;PA;17325;NRG ENERGY INC (100%);C,D;1;1949299;1949299;0;0;0;0;1949299
2017;Huntington;1001193;HWY 31 10 MI W HUNTINGTON;39.3792;-111.0781;HUNTINGTON;Emery;UT;84528;BERKSHIRE HATHAWAY INC (100%);D;1;5144447;5144447;0;0;0;0;5144447
2017;Huntley Power;1000778;3500 RIVER ROAD;42.97;-78.93;TONAWANDA;Erie;NY;14150;NRG ENERGY INC (100%);C,D;1;0;0;0;0;0;0;0
2017;Huntsman Petrochemical LLC (Chocolate Bayou Plant);1010589;P.O. 711;29.418771;-95.239067;Alvin;BRAZORIA COUNTY;TX;77512;HUNTSMAN CORP (100%);C;1;36329;0;0;0;36329;0;36329
2017;ICL Specialty Products Inc;1003370;440 NORTH 9TH STREET;38.97993;-95.21443;LAWRENCE;DOUGLAS COUNTY;KS;66044;ICL-PPLP (ICL PERFORMANCE PRODUCTS LP) (100%);C,U;1;49210;0;0;0;49210;0;49210
2017;IES DOWNSTREAM, LLC - KAPOLEI REFINERY;1004891;91-480 MALAKOLE STREET;21.309854;-158.111997;KAPOLEI;HONOLULU COUNTY;HI;96707;ISLAND ENERGY INVESTOR HOLDINGS (100%);C,P,Y;2;474973;0;470092;0;4881;0;474973
