SECTOR;value;LATITUDE;LONGITUDE
Cement;0.0585;34.4802;110.5696
Cement;0.09001;33.8864;111.4711
Cement;0.045;34.4408;110.5701
Cement;0.70205;34.4386;109.6006
Cement;0.35102;33.6759;107.5673
Cement;0.072;34.8046;108.7138
Cement;0.67504;35.5977;109.9846
Cement;0.045;35.5977;109.9846
Cement;0.045;35.5977;109.9846
Cement;0.70205;34.2537;109.5429
Cement;0.21151;33.1653;109.0527
Cement;0.70205;35.5988;109.9844
Cement;0.56254;33.3743;107.9162
Cement;0.35102;33.2599;107.1256
Cement;0.56254;33.3947;109.6146
Cement;0.35102;34.1661;110.5537
Cement;0.13951;39.0559;111.1202
Cement;0.13951;39.4069;110.8413
Cement;0.63004;33.0678;107.0319
Cement;0.045;34.9098;108.9801
Cement;0.0675;34.2727;109.0646
Cement;0.08101;34.1513;109.3235
Cement;0.072;34.5281;108.2394
Cement;0.22501;34.2226;108.9488
Cement;0.045;33.2228;107.5457
Cement;0.15751;34.9091;108.9893
Cement;0.27902;33.3996;109.1976
Cement;0.045;32.5234;108.5385
Cement;0.70205;34.8573;118.0707
Cement;0.70205;37.4501;116.261
Cement;0.84155;36.6846;118.4797
Cement;1.05307;35.8668;117.1551
Cement;0.70205;35.9371;116.4702
Cement;0.70205;35.5808;116.9865
Cement;0.70205;35.5059;117.6405
Cement;0.91356;35.9861;118.9656
Cement;0.70205;35.58;118.8369
Cement;0.70205;34.8643;117.556
Cement;1.40409;35.1134;117.0647
Cement;2.70017;37.6905;120.5894
Cement;1.05307;35.6647;117.2522
Cement;0.22501;37.3517;118.0386
Cement;0.70205;35.2897;117.985
Cement;1.35009;37.0764;118.6187
Cement;0.70205;35.9689;117.6513
Cement;0.67504;35.9689;117.6513
Cement;0.67504;25.8312;104.3473
Cement;4.6398;34.9406;118.2274
Cement;0.84155;37.3519;118.0386
Cement;0.63004;37.0764;118.6187
Cement;0.35102;34.9406;118.2274
Cement;0.70205;36.6512;116.9974
Cement;0.42303;36.5536;116.752
Cement;1.40409;36.2894;116.456
Cement;0.63004;36.7174;119.0891
Cement;1.40409;36.4784;119.2178
Cement;0.35102;36.7087;118.8222
Cement;1.12507;37.4639;121.4451
Cement;0.49053;37.8114;120.7566
Cement;0.35102;35.4076;116.3403
Cement;0.64804;35.7904;118.6265
Cement;0.42303;34.5625;117.7314
Cement;1.40409;36.6434;117.9658
Cement;0.13951;37.4988;121.2659
Cement;0.13951;37.0856;120.9989
Cement;0.70205;34.8484;117.6863
Cement;0.16651;36.6669;117.6107
Cement;0.45003;36.6982;118.2191
Cement;0.70205;36.6451;117.9648
Cement;0.21151;31.2385;121.5734
Cement;1.40409;40.0054;113.1495
Cement;0.67504;36.3462;113.3974
Cement;0.56254;38.0583;112.6729
Cement;0.56254;39.3192;112.4331
Cement;0.21151;36.0012;111.1885
Cement;0.21151;37.8711;111.2523
Cement;0.13951;37.0708;113.6347
Cement;0.13951;38.0581;112.6708
Cement;0.99006;37.8593;112.5156
Cement;0.70205;37.6999;112.7045
Cement;0.27902;34.6646;109.2348
Cement;0.11251;30.5566;104.2747
Cement;0.22501;30.6814;103.8559
Cement;0.63004;31.0398;103.8079
Cement;0.63004;31.5386;104.5655
Cement;0.67504;31.7855;104.4378
Cement;0.35102;30.5876;103.5207
Cement;0.09001;32.082;108.0345
Cement;0.35102;30.7591;107.307
Cement;0;30.39;106.783
Cement;0.0675;33.2561;104.2486
Cement;4.77931;31.0076;104.0148
Cement;0.21151;32.2692;105.2127
Cement;0.56254;29.2551;105.0754
Cement;0.054;29.6919;103.9277
Cement;0.054;29.6919;103.9277
Cement;0.35102;28.471;102.4548
Cement;0.35102;31.5716;104.369
Cement;0.09001;31.3348;106.1562
Cement;0.054;32.4203;107.2916
Cement;0.09001;27.1423;102.4308
Cement;0.09001;29.3902;104.5833
Cement;1.26458;30.8331;107.4868
Cement;0.27902;29.7458;104.7046
Cement;0.64804;29.2881;105.6298
Cement;0.10351;31.9581;104.5861
Cement;0.35102;32.5766;107.3908
Cement;0.56254;30.2779;105.4221
Cement;1.40409;30.6505;107.3086
Cement;0.11251;31.2408;104.7029
Cement;0.13951;31.5724;104.3688
Cement;9.84214;29.833;103.8434
Cement;1.40409;29.9864;103.863
Cement;0.15751;30.6841;103.7782
Cement;0.27902;30.7673;107.0586
Cement;0.09901;30.7924;107.5238
Cement;0.09001;28.0744;106.3572
Cement;1.12507;31.7751;104.6032
Cement;0.35102;29.9073;103.3706
Cement;0.60304;30.39;106.783
Cement;0.0675;31.7569;104.7246
Cement;0.35102;29.2445;103.0788
Cement;1.03507;30.0423;103.8321
Cement;0.09001;31.5641;106.0116
Cement;0.35102;30.4798;106.6485
Cement;0.35102;26.6346;102.5782
Cement;0.35102;31.3168;104.5102
Cement;0.56254;30.7361;107.2044
Cement;0.35102;29.9141;102.2347
Cement;0.18001;28.8788;105.435
Cement;0.14851;31.3378;104.2208
Cement;0.054;30.193;103.8728
Cement;0.09001;30.8366;106.973
Cement;0.11701;29.9957;104.1341
Cement;0.09001;30.0672;102.7584
Cement;0.13501;29.7642;104.8521
Cement;0.09001;32.2291;106.2897
Cement;0.13501;29.2723;104.8742
Cement;0.35102;27.4224;101.5092
Cement;0.0675;28.5823;104.9211
Cement;0.063;30.952;107.3268
Cement;0.45003;29.5274;104.6689
Cement;1.64261;30.4103;103.4644
Cement;0.27002;30.1176;104.6522
Cement;0.09001;29.7642;104.8521
Cement;0.072;30.39;106.783
Cement;0.09001;30.0667;102.7584
Cement;0.072;32.082;108.0345
Cement;0.09001;29.5274;104.6689
