SECTOR,value,LONGITUDE,LATITUDE
Chemicals,0.018447,15.1,51.63
Chemicals,0.009521,18.23,49.83
Chemicals,0.01748,12.23,45.44
Chemicals,0.014207,10.83,45.13
Chemicals,0.065308,18.96,52.7
Chemicals,0.037563,15.26,38.2
Chemicals,0.022687,14.52,50.27
Chemicals,0.036373,8.353,40.83
Chemicals,0.049315,11.59,44.85
Chemicals,0.106367,-1.1,54.58
Chemicals,0.05958,-1.26,54.58
Chemicals,0.014579,-4.71,55.71
Chemicals,0.257363,13.61,50.56
Chemicals,0.008256,9.766,45.71
Chemicals,0.037117,27.7,43.26
Chemicals,0.030646,-2.79,53.28
Chemicals,0.016587,-1.18,54.59
Chemicals,0.024992,8.685,63.41
Chemicals,0.029902,14.07,50.51
Chemicals,0.021125,6.554,60.11
Chemicals,0.049018,-2.79,53.28
Chemicals,0.014728,-1.27,54.58
Chemicals,0.029679,18,40.63
Chemicals,0.029604,18,40.63
Chemicals,0.039869,9.621,59.12
Chemicals,0.018298,14.52,50.27
Chemicals,0.032803,19.27,50.04
Chemicals,0.010711,-1.24,54.57
Chemicals,0.013463,17.26,50.46
Chemicals,0.007736,8.741,45.43
Chemicals,0.008331,9.766,45.71
Chemicals,0.035108,9.593,59.09
Chemicals,0.015918,24.47,40.95
Chemicals,0.029307,5.16,43.5
Chemicals,0.086283,15.17,37.13
Chemicals,0.101904,24.33,55.08
Chemicals,0.01019,-2.74,53.31
Chemicals,0.053927,12.23,45.44
Chemicals,0.060845,15.17,37.13
Chemicals,0.053332,11.59,44.85
Chemicals,0.055192,11.59,44.85
Chemicals,0.032877,15.71,50.05
Chemicals,0.030422,-1.17,54.6
Chemicals,0.019637,6.554,60.11
Chemicals,0.01138,-1.27,54.58
Chemicals,0.014356,-4.71,55.71
Chemicals,0.015546,-1.2,54.63
Chemicals,0.033844,25.52,60.3
Chemicals,0.019637,24.47,40.95
Chemicals,0.023356,17.95,49.49
Chemicals,0.010934,12.23,44.43
Chemicals,0.00848,9.766,45.71
Chemicals,0.01138,-1.2,54.63
Chemicals,0.010637,9.766,45.71
Chemicals,0.011678,12.23,44.43
Chemicals,0.035108,24.89,43.71
Chemicals,0.037935,15.26,38.2
Chemicals,0.007587,9.586,59.1
Chemicals,0.17703,24.33,55.08
Chemicals,0.1867,24.33,55.08
Chemicals,0.060398,-1.26,54.58
Chemicals,0.011157,-4.71,55.71
Chemicals,0.017926,-2.74,53.31
Chemicals,0.023951,6.71,49.12
Chemicals,0.144302,13.61,50.56
Chemicals,0.015248,24.33,55.08
Chemicals,0.007587,-1.24,54.57
Chemicals,0.009075,-2.53,53.26
Chemicals,0.02648,-0.23,53.73
Chemicals,0.059878,9.621,59.12
Chemicals,0.032208,17.99,40.63
Chemicals,0.00781,10.85,45.13
Chemicals,0.015397,10.83,45.13
Chemicals,0.032951,-1.24,54.57
Chemicals,0.030274,15.17,37.21
Chemicals,0.008033,10.85,45.13
Chemicals,0.012571,-4.71,55.71
Chemicals,0.013389,-4.71,55.71
Chemicals,0.009744,18.23,49.83
Chemicals,0.02648,15.17,37.21
Chemicals,0.021422,10.47,43.4
Chemicals,0.073638,18.11,52.76
Chemicals,0.016959,-1.27,54.58
Chemicals,0.016662,27.66,43.2
Chemicals,0.034513,9.593,59.09
Chemicals,0.026703,15.17,37.21
Chemicals,0.009595,-4.71,55.71
Chemicals,0.008182,8.741,45.43
Chemicals,0.019563,24.47,40.95
Chemicals,0.009447,-2.53,53.26
Chemicals,0.033993,25.52,60.3
Chemicals,0.018521,1.04,49.4
Chemicals,0.031687,9.593,59.09
Chemicals,0.01019,12.23,44.43
Chemicals,0.031464,15.71,50.05
Chemicals,0.029009,7.49,47.78
Chemicals,0.036968,15.26,38.2
Chemicals,0.035108,27.7,43.26
Chemicals,0.015546,27.66,43.2
Chemicals,0.026554,-0.23,53.73
Chemicals,0.024546,17.95,49.49
Chemicals,0.019191,25.61,42.05
Chemicals,0.018372,25.61,42.05
Chemicals,0.032208,5.4,47.03
Chemicals,0.050431,9.621,59.12
Chemicals,0.010488,-0.52,44.9
Chemicals,0.022612,27.38,44.53
Chemicals,0.01867,14.52,50.27
Chemicals,0.024844,0.53,49.5
Chemicals,0.022612,10.47,43.4
Chemicals,0.012719,-1.12,54.57
Chemicals,0.033993,27.38,44.53
Chemicals,0.032208,27.7,43.26
Chemicals,0.032505,27.66,43.2
Chemicals,0.031538,-3.5,54.41
Chemicals,0.036224,15.26,38.2
Chemicals,0.05244,12.23,45.44
Chemicals,0.041505,27.7,43.26
Chemicals,0.035108,26.94,46.51
Chemicals,0.047158,2.22,51
Chemicals,0.030646,-3.5,54.41
Chemicals,0.024992,8.685,63.41
Chemicals,0.032505,5.4,47.03
Chemicals,0.020455,0.57,49.48
Chemicals,0.014356,27.66,43.2
Chemicals,0.057944,8.353,40.83
Chemicals,0.036522,27.66,43.2
Chemicals,0.026183,14.07,50.51
Chemicals,0.092234,8.353,40.83
Chemicals,0.034588,-3.5,54.41
Chemicals,0.058018,12.23,45.44
Chemicals,0.061142,15.17,37.13
Chemicals,0.008256,12.22,45.44
Chemicals,0.043588,0.22,49.48
Chemicals,0.011306,24.29,45.03
Chemicals,0.011678,7.54,47.83
Chemicals,0.014505,12.25,44.45
